line;timestmp;depth (m);bitdepth (m);hook_load (klb);wob (klb);rpm;torque;rop ;flowin (gal/stk);spp (psi);ChockePressure (psi);flowout (%);SPM1 (spm);SPM2 (spm);pitlevel1 (bbl);pitlevel2 (bbl);pitlevel3 (bbl);;pitlevel4 (bbl);pitlevel5 (bbl);pitlevel6 (bbl);pitlevel7 (bbl);totalpitlevel (bbl);RPMAnalog;BlockPosition;RPMTotal;H2S (ppm)
1418;23:38;803,33;790,82;24,68;0;0;0;437;141;0;;57;82;0;5;60;54;;25;15;14;14;94;94,5;0,7;103,5;0
1419;23:39;803,33;801,79;90,58;0;257,76;0;550,4;1658;0;;78;97;0;5;111;33;;27;14;19;15;74;95,6;0,7;103,4;0
1420;23:40;803,33;802,79;91,22;0;911,29;0;550,4;1880;0;;78;97;0;5;46;68;;29;13;15;18;110;98,8;0,6;103,3;0
1421;23:41;804,45;804,45;84,1;13,07;2653,58;0,48;513,1;1952;0;;70;94;0;5;77;44;;22;15;18;14;81;99,4;0,6;103,5;0
1422;23:42;805,92;805,92;78,48;13,16;4707,39;0,72;528,9;2047;0;;73;95;0;5;99;49;;30;12;14;19;91;99,4;0,7;103,4;0
1423;23:43;807,1;807,1;77,38;12,54;4794,47;0,88;523,1;2055;0;;71;95;0;5;65;40;;28;14;16;19;82;99,3;0,6;103,4;0
1424;23:44;808,25;808,25;77,93;8,47;4715,76;0,89;528,9;2054;0;;73;95;0;5;65;40;;28;14;16;19;82;99,2;0,7;103,4;0
1425;23:45;809,41;809,41;80,34;16,07;3730,82;0,88;518,8;2016;0;;71;94;0;5;107;61;;22;14;16;16;97;99,2;0,6;103,5;0
1426;23:46;810,58;810,58;78,15;13,2;4434,24;0,88;518,8;2045;0;;71;94;0;5;67;58;;28;15;15;18;101;99;0,7;103,5;0
1427;23:47;811,8;811,8;76,8;12,86;4789,55;0,84;518,8;2064;0;;71;94;0;5;64;47;;24;14;18;19;85;99;0,7;103,6;0
1428;23:48;812,42;812,42;82,64;1,3;2779,55;1,39;556,1;1984;0;;79;97;0;5;113;45;;29;16;18;18;90;99,2;0,6;103,4;0
1429;23:49;812,42;799,64;94,73;0;0;0,07;0;1057;0;;0;0;0;5;137;48;;51;15;13;16;114;99,2;0,6;103,4;0
1430;23:50;812,42;799,88;27,45;0;0;0;0;7;0;;0;0;0;5;83;37;;25;16;16;13;78;97,3;0,6;103,5;0
1431;23:51;812,42;799,88;10,42;0;99,28;0;0;7;0;;0;0;0;5;83;37;;25;16;16;13;78;95,7;0,6;103,5;0
1432;23:52;812,42;799,88;11,98;0;0;0;0;8;0;;0;0;0;5;59;45;;28;16;13;14;89;95,2;0,7;103,5;0
1433;23:53;812,42;799,88;11,99;0;0;0;0;5;0;;0;0;0;5;97;70;;26;13;17;14;109;95;0,7;103,4;0
1434;23:54;812,42;799,88;11,52;0;0;0;0;0;0;;0;0;0;5;94;34;;25;15;16;19;74;94,8;0,6;103,5;0
1435;23:55;812,42;802,81;42,23;0;0;0;411,1;403;0;;53;79;0;5;126;32;;27;15;19;14;74;94,8;0,7;103,5;0
1436;23:56;812,42;810,75;91,01;0;512,86;0;509,8;1714;0;;81;78;0;5;74;61;;35;14;17;16;110;96,5;0,7;103,4;0
1437;23:57;812,57;812,44;90,25;0,15;909,95;0,15;538,8;1838;0;;79;90;0;5;106;41;;30;14;19;15;85;98,8;0,6;103,4;0
1438;23:58;813,04;813,04;86,84;11,75;2131,38;1,44;517,3;1878;0;;75;89;0;5;106;41;;30;14;19;15;85;99,2;0,7;103,4;0
1439;23:59;814,46;814,46;76,91;20,95;4911,2;0,7;507,2;2006;0;;73;87;0;5;74;47;;27;14;17;17;88;99,4;0,6;103,5;0
