line;timestmp;depth (m);bitdepth (m);hook_load (klb);wob (klb);rpm;torque;rop ;flowin (gal/stk);spp (psi);ChockePressure (psi);flowout (%);SPM1 (spm);SPM2 (spm);pitlevel1 (bbl);pitlevel2 (bbl);pitlevel3 (bbl);pitlevel4 (bbl);pitlevel5 (bbl);pitlevel6 (bbl);pitlevel7 (bbl);totalpitlevel (bbl);RPMAnalog;BlockPosition;RPMTotal;H2S (ppm)
491;08:10;967,55;967,5;63;10;;1456;2,29;298,6;2801;1694;36;0;99;;;6;84,57;42,72;9,58;10;136,87;10;10;57;0
492;08:11;968,43;967,5;64;12;;1727;1,64;297,91;2829;1700;36;0;99;;;6;89,58;54,35;5,22;21,93;149,15;10;10;57;0
493;08:12;969,91;969,5;66;10;;1685;1,16;298,6;2826;273;35;0;99;;;6;83,95;50,94;8,12;10;143,01;10;10;57;0
494;08:13;971,38;970,5;66;8;;1613;0,69;298,6;2814;221;35;0;99;;;6;109,97;55,74;12,91;21,85;178,62;10;10;57;0
495;08:14;972,41;971,5;66;9;;1454;0,79;298,6;2770;340;36;0;99;;;6;109,97;56,42;14,53;21,85;180,92;10;10;57;0
496;08:15;973,69;973,5;65;10;;1432;0,9;297,25;2776;341;36;0;99;;;6;107,62;56,42;17,68;10;181,72;10;10;57;0
497;08:16;974,71;974,5;63;11;;1320;0,73;296,55;2796;338;36;0;99;;;6;139,87;80,09;43,48;10;263,44;10;10;57;0
498;08:17;975,55;975,5;65;13;;1090;0,95;297,23;2767;328;36;0;99;;;6;139,87;80,09;43,48;10;263,44;10;10;57;0
499;08:18;976,23;975,5;66;11;;1029;1,38;297,91;2728;325;36;0;99;;;6;77,45;56,25;23,66;10;157,36;10;10;57;0
500;08:19;976,5;976,5;58;16;;1403;1,21;297,91;2806;322;36;0;99;;;6;86,03;56,23;16,33;10;158,59;15,12;10;57;0
501;08:20;976,77;976,5;59;16;;1409;1,21;297,23;2787;325;36;0;99;;;6;86,03;56,23;16,33;10;158,59;15,12;10;57;0
502;08:21;977,07;976,5;59;14;;1367;1,21;298,6;2798;323;36;0;99;;;6;103,21;50,43;30,19;17,65;183,83;10;10;57;0
503;08:22;977,64;977,5;69;6;;931;3,32;297,91;2701;325;36;0;99;;;6;121,32;50,43;30,19;17,65;201,94;10;10;57;0
504;08:23;977,91;977,5;69;6;;700;3,32;298,6;2673;322;36;0;99;;;6;121,32;65,39;30,26;22,78;216,97;10;10;57;0
505;08:24;978,3;977,5;69;9;;702;3,32;296,55;2643;316;36;0;99;;;6;93,78;65,39;30,26;22,78;189,43;10;10;57;0
506;08:25;978,77;978,5;62;12;;1482;2,55;299,29;2798;345;36;0;100;;;6;89,36;41,49;25,42;10;156,27;10;10;57;0
507;08:26;978,99;978,5;71;3;;643;2,55;297,23;2632;1521;36;0;99;;;6;80,7;48,58;33,79;10;163,07;10;10;57;0
508;08:27;979,44;978,5;71;7;;668;2,73;297,91;2615;1579;36;0;99;;;6;108,12;55,67;33,79;10;197,58;10;10;57;0
509;08:28;979,61;979,5;70;3;;782;2,83;298,6;2634;1591;36;0;99;;;6;108,12;55,67;17,4;10;181,19;10;10;57;0
510;08:29;979,61;979,5;75;1;;213;2,83;142,35;1511;1603;27;0;47;;;6;82,76;51,64;31,4;10;165,8;10;10;57;0
511;08:30;979,61;979,5;78;3;;23;2,83;0;0;1598;0;0;0;;;7;71,11;51,64;31,4;10;154,15;10;10;55;0
512;08:31;979,61;979,5;78;3;;0;2,83;0;0;1595;0;0;0;;;6;62,24;39,6;16,01;10;117,85;10;10;50;0
513;08:32;979,61;978,5;78;2;;0;2,83;0;0;1599;0;0;0;;;6;77,34;42,1;9,44;10;128,88;10;10;45;0
514;08:33;979,61;979,5;78;0;;0;0;0;0;1605;0;0;0;;;6;93,21;38,07;29,29;27,91;160,57;10;10;41;0
515;08:34;979,61;979,5;78;0;;0;0;0;0;1597;0;0;0;;;6;93,21;38,07;29,29;27,91;160,57;10;17,7;40;0
516;08:35;979,61;979,5;76;0;;10;0;126,14;448;1605;17;0;42;;;6;87,25;38,2;23,55;11,79;149;10;17,7;39;0
517;08:36;979,61;979,5;76;0;;12;0;102,65;562;1606;24;0;34;;;6;98,11;62,51;46,62;11,79;207,24;10;10;39;0
518;08:37;979,61;978,5;49;0;;250;0;0;0;1613;0;0;0;;;6;98,11;62,51;46,62;10;207,24;10;10;41;0
519;08:38;979,61;978,5;24;0;;5;0;0;0;1614;0;0;0;;;6;78,32;57,43;33,26;10;169,01;10;10;40;0
520;08:39;979,61;978,5;24;0;;1;0;0;0;329;0;0;0;;;6;109,45;36,39;4,6;10;150,44;10;10;39;0
521;08:40;979,61;978,5;24;0;;0;0;0;0;0;0;0;0;;;6;104,2;51,62;21,49;15,56;177,31;10;10;39;0
522;08:41;979,61;978,5;24;0;;668;0;0;0;0;0;0;0;;;6;104,2;51,62;21,49;15,56;177,31;10;10;38;0
523;08:42;979,61;978,5;26;0;;1698;0;0;0;1;0;0;0;;;6;96,09;45,24;33,53;20,67;174,86;10;10;38;0
524;08:43;979,61;978,5;79;0;;4;0;129,36;306;169;12;0;43;;;6;96,09;52,28;33,53;20,67;181,9;10;10;38;0
525;08:44;979,61;978,5;78;0;;0;0;233,87;1289;314;30;0;78;;;6;109,62;59,98;32,17;16,88;201,77;15,64;10;39;0
526;08:45;979,61;978,5;76;0;;49;0;298,6;2488;105;36;0;99;;;6;109,62;59,98;32,17;16,88;201,77;15,64;10;42;0
527;08:46;979,61;978,5;77;0;;57;0;297,91;2529;0;36;0;99;;;6;58,31;53,49;13,7;10;125,5;10;10;45;0
528;08:47;979,61;978,5;76;0;;19;0;298,6;2539;0;36;0;99;;;6;61,31;62,24;29,93;10;153,48;10;10;47;0
529;08:48;980,11;979,5;70;5;;833;2,83;298,6;2695;2;36;0;99;;;6;81,33;62,24;29,93;10;173,5;10;10;49;0
530;08:49;980,49;979,5;65;10;;1166;6,2;297,92;2756;341;36;0;99;;;6;81,33;37,91;34,96;10;154,2;10;13,05;51;0
531;08:50;981,25;980,5;65;12;;1632;6,2;299,3;2847;516;36;0;100;;;6;112,48;46,22;34,96;15,84;193,66;10;13,05;52;0
532;08:51;981,67;981,5;65;10;;1081;1,77;298,6;2782;515;36;0;99;;;6;125,38;52,63;42,2;15,84;220,21;10,6;10;53;0
533;08:52;981,96;981,5;60;16;;1324;1,77;298,6;2803;515;36;0;99;;;6;125,38;52,63;42,2;10;220,21;10,6;10;54;0
534;08:53;982,27;981,5;61;14;;1539;2,14;299,99;2823;512;36;0;100;;;6;81,15;34,34;7,96;10;123,45;10;10;55;0
535;08:54;982,56;982,5;59;16;;1410;2,88;298,61;2836;504;36;0;99;;;6;69,8;48;37,62;10;155,42;10;10;55;0
536;08:55;982,82;982,5;60;14;;1507;2,88;298,61;2813;504;36;0;99;;;6;100,09;59,22;37,62;12,97;196,93;10;10;56;0
537;08:56;983,41;982,5;66;8;;1386;2,9;299,3;2819;498;36;0;100;;;6;100,09;59,22;33,6;12,97;192,91;10;10;57;0
538;08:57;983,97;983,5;66;10;;1489;2,94;297,23;2823;501;36;0;99;;;6;86,92;48,01;33,6;10;168,53;10;11,66;57;0
539;08:58;984,4;983,5;64;9;;1520;2,53;299,99;2834;501;36;0;100;;;6;69,46;58,39;9,83;10;137,68;10;11,66;57;0
540;08:59;984,83;984,5;64;12;;1489;1,72;298,6;2843;505;36;0;99;;;6;57,37;58,39;8,74;10;124,5;10;10;58;0
541;09:00;985,44;984,5;67;7;;1348;1,96;299,29;2797;506;36;0;100;;;6;101,3;70,72;13,83;10;185,85;10;10;58;0
542;09:01;986,14;985,5;67;8;;1281;2,08;297,25;2801;504;36;0;99;;;6;96,69;50,98;43,83;10;191,5;10;10;59;0
543;09:02;986,83;986,5;67;9;;1347;1,7;297,93;2803;502;36;0;99;;;6;99,55;50,98;43,83;25,54;194,36;10;10;59;0
544;09:03;987,43;986,5;64;12;;1416;1,47;298,6;2847;568;36;0;99;;;6;99,55;66,72;23,18;25,54;189,45;10;10;59;0
545;09:04;987,74;987,5;63;8;;1541;1,38;297,93;2847;3065;36;0;99;;;6;90,27;66,72;38,51;17,37;195,5;10;10;60;0
546;09:05;988,1;987,5;62;13;;1437;1,38;298,61;2840;3171;36;0;99;;;6;66,01;52,88;38,51;10;157,4;10;10;60;0
547;09:06;988,41;987,5;65;9;;1559;2,39;297,93;2837;3079;36;0;99;;;6;65,91;52,88;14,26;10;133,05;10;10;60;0
548;09:07;988,71;988,5;61;15;;1392;2,9;299,29;2839;2995;36;0;100;;;6;98,09;41,99;9,78;10;149,86;10;10;60;0
549;09:08;989,03;988,5;61;12;;1659;2,9;299,29;2879;2929;36;0;100;;;6;71,41;64,69;35,78;10;171,88;10;10;60;0
550;09:09;989,35;988,5;65;10;;1333;3,1;299,3;2829;2879;36;0;100;;;6;126,05;64,69;35,78;10;226,52;10;10;60;0
551;09:10;989,64;989,5;64;9;;1445;3,2;297,91;2823;2790;36;0;99;;;7;126,05;58,43;26,84;10;211,32;10;10;59;0
552;09:11;989,91;989,5;65;11;;1158;3,2;298,6;2780;1646;36;0;99;;;7;80,07;54,31;22,8;10;157,18;10;10;59;0
553;09:12;990,19;989,5;63;8;;1400;3,2;299,29;2829;0;36;0;100;;;6;113,24;65,81;22,8;14,9;201,85;10;10;59;0
554;09:13;990,54;990,5;63;14;;1365;3,48;298,6;2800;0;35;0;99;;;6;113,24;65,81;16,95;14,9;196;10;10;59;0
555;09:14;990,82;990,5;62;13;;1459;3,48;299,29;2827;0;36;0;100;;;6;89,34;32,67;24,69;10;146,7;10;10;59;0
556;09:15;991,16;990,5;63;11;;1516;3,48;297,91;2840;0;36;0;99;;;6;118,88;60,76;3,71;10;183,35;10;10;59;0
557;09:16;991,46;990,5;62;12;;1288;3,15;299,29;2806;0;36;0;100;;;7;118,88;60,76;21,21;10;200,85;10;10;59;0
558;09:17;991,77;991,5;62;14;;1368;2,98;298,6;2811;0;36;0;99;;;7;134,38;48,11;21,21;10;203,7;10;10;59;0
559;09:18;992,01;991,5;62;12;;1183;2,98;301,41;2771;0;36;0;100;;;6;134,38;48,31;17,53;13,24;200,22;10;10;59;0
560;09:19;992,18;991,5;59;17;;1173;2,98;298,6;2781;0;36;0;99;;;6;60,78;48,31;39,48;13,24;148,57;10;10;58;0
561;09:20;992,35;991,5;58;16;;1176;4,12;299,3;2765;0;36;0;100;;;6;49,22;30,11;39,48;10;118,81;10;10;59;0
562;09:21;992,54;992,5;60;15;;1210;4,12;298,72;2775;0;36;0;99;;;6;101,53;52,76;6,42;10;160,71;10;10;58;0
563;09:22;992,73;992,5;59;16;;1184;4,12;300,73;2719;0;36;0;100;;;6;97,34;59,86;39,84;26,17;197,04;10;10;58;0
564;09:23;992,86;992,5;61;13;;1044;4,12;290,34;2721;0;36;0;97;;;6;99,63;59,86;39,84;26,17;199,33;10;10;58;0
565;09:24;993;992,5;66;9;;764;4,12;298,7;2702;0;36;0;99;;;6;120,32;51,73;35,36;10;207,41;10;10;58;0
566;09:25;993,06;991,5;73;3;;483;2,74;94,51;1085;0;18;0;31;;;6;120,32;56,61;35,36;17,55;212,29;10;10;58;0
567;09:26;993,06;985,5;80;0;;0;0;0;0;0;0;0;0;;;6;122,65;68,01;21,21;17,55;211,87;12,62;10;56;0
568;09:27;993,06;980,5;80;0;;0;0;0;0;0;0;0;0;;;6;122,65;68,01;15,98;10;206,64;12,62;10;50;0
569;09:28;993,06;989,5;80;0;;0;0;0;0;0;0;0;0;;;6;61,71;33,79;26,34;10;121,84;10;10;45;0
570;09:29;993,06;979,5;80;0;;0;0;0;0;0;0;0;0;;;6;103,89;61,16;19,3;18,67;184,35;10;10;41;0
571;09:30;993,06;979,5;80;0;;0;0;0;0;0;0;0;0;;;6;103,89;68,28;37,47;18,67;209,64;10;10;40;0
572;09:31;993,06;979,5;80;0;;0;0;0;0;0;0;0;0;;;6;93,55;68,28;37,47;19,67;199,3;10;10;39;0
573;09:32;993,06;979,5;80;0;;0;0;0;0;0;0;0;0;;;6;89,53;41,92;28,2;19,67;159,65;10;10;38;0
574;09:33;993,06;979,5;79;0;;0;0;124,4;378;0;11;50;0;;;6;96,62;41,92;28,2;10;166,74;10;10;38;0
575;09:34;993,06;979,5;79;0;;5;0;120,75;526;0;23;48;0;;;6;96,62;30,23;6,62;10;133,47;10;10;39;0
576;09:35;993,06;979,5;78;0;;4;0;220,24;1113;0;29;89;0;;;6;57,4;29,93;20,84;10;108,17;12,79;10;41;0
577;09:36;993,06;979,5;77;0;;4;0;296,03;2337;0;34;119;0;;;6;107,12;53,8;1,21;28,96;162,13;10;10;43;0
578;09:37;993,06;979,5;76;0;;16;0;299,31;2549;0;35;121;0;;;6;107,12;53,8;32,75;28,96;193,67;18,37;12,38;45;0
579;09:38;993,06;985,5;77;0;;81;0;298,48;2561;0;36;120;0;;;6;86,19;40,92;32,75;16,13;159,86;18,37;12,38;47;0
580;09:39;993,06;992,5;77;0;;90;0;298,48;2553;0;36;120;0;;;6;125,75;38,53;23,75;16,13;188,03;10;10;49;0
581;09:40;993,41;992,5;58;19;;1393;5,2;297,65;2757;0;36;120;0;;;6;125,75;52,88;27,84;13,65;206,47;10;10;51;0
582;09:41;993,77;993,5;56;20;;1862;5,74;299,31;2869;0;36;121;0;;;6;91,71;52,88;27,84;13,65;172,43;10;10;52;0
583;09:42;994,16;993,5;57;17;;1675;5,74;296,82;2872;0;35;120;0;;;6;83,6;49,18;21,8;10;154,58;10;10;53;0
584;09:43;994,8;994,5;67;3;;1910;3,6;297,65;2743;0;35;120;0;;;6;102,62;40,44;8,91;10;151,97;10;10;54;0
585;09:44;995,1;994,5;72;0;;1035;2,53;297,65;2601;0;35;120;0;;;6;102,62;47,46;21,25;10;171,33;10;22,54;55;0
586;09:45;995,56;995,5;72;2;;542;1,98;298,48;2613;0;35;120;0;;;6;95,1;51,71;33,11;11,18;179,92;10;22,54;55;0
587;09:46;996,49;995,5;69;7;;951;1,7;299,31;2694;0;36;121;0;;;6;95,1;51,71;33,11;11,18;179,92;10;10;56;0
588;09:47;997,09;996,5;71;4;;636;1,48;296,82;2658;66;36;120;0;;;6;81,25;57,22;23,53;10;162;10;10;56;0
589;09:48;998,25;997,5;66;11;;1465;1,38;297,65;2763;406;35;120;0;;;6;80,36;57,22;15,49;10;153,07;10;10;56;0
590;09:49;999,05;998,5;69;5;;986;0,86;296,82;2720;421;35;120;0;;;6;101,4;50,4;15,9;10;167,7;10;10;57;0
591;09:50;999,05;998,5;76;1;;80;0,86;298,48;2529;419;35;120;0;;;6;100,64;42,39;21,95;10,99;164,98;10;10;57;0
592;09:51;999,05;997,5;77;0;;36;0,29;210,55;1997;420;33;85;0;;;6;121,05;54,32;40,49;10,99;215,86;10;10;57;0
593;09:52;999,05;998,5;34;0;;323;0;0;29;423;2;0;0;;;6;121,05;54,32;40,49;10;215,86;10;17,18;57;0
594;09:53;999,05;998,5;24;0;;5;0;0;0;435;0;0;0;;;6;109,89;55,35;26,33;10;191,57;10;17,18;52;0
595;09:54;999,05;998,5;25;0;;10;0;0;0;421;0;0;0;;;6;144,75;55,35;26,33;10;226,43;10,01;14,6;47;0
596;09:55;999,05;998,5;24;0;;168;0;0;0;428;0;0;0;;;7;144,75;36,77;14,17;10;195,69;10,01;10;42;0
597;09:56;999,05;998,5;26;0;;462;0;0;0;448;0;0;0;;;6;107,37;33,69;31,24;10;172,3;10;10;40;0
598;09:57;999,05;997,5;43;0;;1728;0;34,61;47;449;0;13;0;;;6;50,41;64,84;19,68;10;134,93;10;17,98;39;0
599;09:58;999,05;997,5;79;0;;71;0;130,21;480;454;21;52;0;;;6;113,16;64,84;19,68;10;197,68;10;19,27;39;0
600;09:59;999,05;997,5;78;0;;39;0;268,19;1730;439;32;108;0;;;6;113,16;56,54;30,39;10;200,09;10;19,27;40;0
601;10:00;999,05;997,5;78;0;;19;0;296,82;2469;2614;35;120;0;;;6;106,87;80,67;31,57;10;219,11;10;10;43;0
602;10:01;999,05;998,5;78;0;;51;0;296,82;2514;3280;35;120;0;;;6;123,07;80,67;31,57;10;235,31;21,28;10;45;0
603;10:02;999,48;998,5;76;1;;380;1,48;297,65;2561;3277;35;120;0;;;6;123,07;53,17;0,59;10;176,83;21,28;10;47;0
604;10:03;999,67;999,5;75;1;;361;2,73;297,65;2565;3251;35;120;0;;;6;133,08;63,19;33,43;10;229,7;10;10;49;0
605;10:04;1000,07;999,5;75;5;;384;2,73;297,65;2553;1996;35;120;0;;;6;95,72;36,2;22,54;10;154,46;19,31;10;51;0
606;10:05;1000,76;1000,5;64;11;;1830;2,51;298,48;2849;280;35;120;0;;;6;106,76;54,21;22,54;20,7;183,51;19,31;10;52;0
607;10:06;1001,38;1000,5;67;7;;1740;2,39;297,65;2803;502;35;120;0;;;6;106,76;54,21;17,53;20,7;178,5;10;10;53;0
608;10:07;1001,99;1001,5;66;10;;1872;1,63;296,82;2826;532;35;120;0;;;6;106,76;54,21;56,38;20,7;217,35;10;10;54;0
609;10:08;1002,54;1002,5;66;9;;1769;1,65;297,65;2842;531;35;120;0;;;6;80,94;69,08;56,38;10;206,4;10;10;55;0
610;10:09;1002,91;1002,5;65;5;;1575;1,66;296,82;2808;558;36;120;0;;;6;80,94;69,08;18,51;10;168,53;10;10;56;0
611;10:10;1003,26;1002,5;66;9;;1393;1,92;296,82;2763;560;36;120;0;;;6;73,87;54,5;14,51;10;142,88;10;10;57;0
612;10:11;1003,61;1003,5;68;4;;1331;2,46;297,65;2750;561;35;120;0;;;6;121,62;52,65;30,39;27,17;204,66;10;10;57;0
613;10:12;1004,23;1003,5;68;7;;1352;2,46;297,65;2753;561;35;120;0;;;6;121,62;52,65;30,39;27,17;204,66;10;10;57;0
614;10:13;1004,81;1004,5;68;8;;1508;2,12;297,65;2777;562;35;120;0;;;6;89,25;68,28;36,5;10;194,03;10;10;57;0
615;10:14;1005,57;1005,5;66;11;;1680;1,92;297,65;2809;551;35;120;0;;;6;112,3;68,28;36,5;10,16;217,08;10;10;58;0
616;10:15;1006,19;1005,5;66;9;;1649;1,53;296,82;2819;549;35;120;0;;;6;112,3;41,66;28,17;10,16;182,13;10;10;58;0
617;10:16;1006,74;1006,5;69;11;;1178;1,54;297,65;2742;558;35;120;0;;;6;55,6;44,2;28,18;10;127,98;10;10;58;0
618;10:17;1007,3;1006,5;68;9;;1312;1,64;296,82;2755;414;36;120;0;;;6;75,96;49,87;34,47;10;160,3;10;10;58;0
619;10:18;1007,99;1007,5;66;10;;1764;1,84;298,48;2825;940;36;120;0;;;6;75,96;58,36;34,47;17,17;168,79;10;10;58;0
620;10:19;1008,68;1008,5;64;10;;2010;1,55;297,65;2880;3183;35;120;0;;;6;107,08;60,34;14,1;17,17;181,52;10;10;58;0
621;10:20;1009,36;1008,5;65;10;;1621;1,42;297,65;2821;3147;35;120;0;;;6;107,08;60,34;10,9;15,29;178,32;10;10;58;0
622;10:21;1010,01;1009,5;64;9;;1869;1,46;296,82;2867;3122;35;120;0;;;6;82,45;48,05;14,61;12,79;145,11;16,16;10;58;0
623;10:22;1010,65;1010,5;66;9;;1604;1,48;297,65;2826;3087;35;120;0;;;6;73,99;45,9;14,61;10;134,5;16,16;10;58;0
624;10:23;1011,37;1010,5;66;10;;1627;1,5;296,82;2812;2686;35;120;0;;;6;91,01;61,46;28,79;10;181,26;10;10;58;0
625;10:24;1012,16;1011,5;64;10;;1740;1,56;297,65;2847;2583;36;120;0;;;7;55,61;43,53;11,24;14,79;110,38;10;10;58;0
626;10:25;1012,84;1012,5;66;12;;1621;1,35;296,82;2837;2914;36;120;0;;;6;119,92;65,95;41,97;14,79;227,84;10;10;58;0
627;10:26;1013,53;1013,5;66;9;;1609;1,39;296,82;2837;2954;36;120;0;;;6;119,92;65,95;41,97;10;227,84;10;10;58;0
628;10:27;1014,19;1013,5;65;10;;1607;1,46;296,82;2833;2922;35;120;0;;;6;81,03;55,51;44,25;10;180,79;10;10;58;0
629;10:28;1014,74;1014,5;67;11;;1287;1,61;297,65;2795;2018;35;120;0;;;6;92,46;55,51;44,25;10;192,22;10;10;58;0
630;10:29;1015,09;1014,5;65;10;;1268;1,61;297,65;2756;161;35;120;0;;;6;92,46;29,03;12,94;10;134,43;10;10;58;0
631;10:30;1015,38;1014,5;62;10;;1523;2,18;296,82;2793;301;35;120;0;;;6;134,6;46,84;15,51;10;196,95;10;10;58;0
632;10:31;1015,65;1015,5;73;1;;629;2,47;296,82;2634;308;35;120;0;;;6;96,7;51,61;22,27;10;170,58;10;10;58;0
633;10:32;1016,22;1015,5;68;8;;1152;2,47;297,65;2742;313;35;120;0;;;6;96,7;51,61;24,92;12,04;173,23;10;10;58;0
634;10:33;1016,37;1015,5;63;12;;981;2,35;298,48;2708;318;36;120;0;;;6;84,51;55,22;24,92;12,04;164,65;10;10;57;0
635;10:34;1016,53;1016,5;60;14;;1283;2,35;296,82;2748;318;35;120;0;;;6;100,26;55,22;21,78;10;177,26;10;10;57;0
636;10:35;1016,79;1016,5;61;13;;1333;2,35;296,82;2780;315;35;120;0;;;6;100,26;49,93;26,98;10;177,17;10;10;57;0
637;10:36;1017,17;1016,5;62;11;;1466;2,35;297,65;2788;313;35;120;0;;;6;76,79;49,93;26,98;10;153,7;10;10;57;0
638;10:37;1017,44;1016,5;62;14;;1390;4,28;298,48;2764;314;35;120;0;;;6;81,65;38,81;13,5;10;133,96;10;10;57;0
639;10:38;1017,77;1017,5;62;11;;1742;4,28;296,82;2828;314;35;120;0;;;6;91,4;39,81;40,22;10;171,43;10;10;57;0
640;10:39;1018,18;1017,5;61;14;;1664;4,28;296,82;2813;314;35;120;0;;;6;91,4;42,52;40,22;17,56;174,14;10;10;57;0
641;10:40;1018,48;1017,5;66;7;;1300;3,35;297,65;2754;315;35;120;0;;;6;72,77;42,52;15,76;17,56;131,05;10;10;57;0
642;10:41;1018,48;1017,5;76;1;;158;2,88;296,82;2533;300;35;120;0;;;6;80,64;46,83;15,76;10;143,23;10;10;57;0
643;10:42;1018,48;1017,5;78;0;;9;0;129,46;1358;309;25;52;0;;;6;80,64;50,72;22,24;10;153,6;12,54;10;57;0
644;10:43;1018,48;1017,5;44;0;;397;0;0;0;1647;0;0;0;;;6;67,35;50,72;22,24;10;140,31;12,54;10;55;0
645;10:44;1018,48;1017,5;24;0;;6;0;0;0;3230;0;0;0;;;6;104,94;39,14;22,91;10;166,99;10;10;50;0
646;10:45;1018,48;1017,5;23;0;;27;0;0;0;3174;0;0;0;;;6;71,41;41,6;20,76;10;133,77;10;10;45;0
647;10:46;1018,48;1017,5;23;0;;40;0;0;0;3157;0;0;0;;;6;79,29;56,3;28,99;10;164,58;10;10;41;0
648;10:47;1018,48;1017,5;23;0;;0;0;0;0;3133;0;0;0;;;6;113,63;58,43;46,79;10;218,85;10;10;40;0
649;10:48;1018,48;1017,5;23;0;;567;0;0;0;3109;0;0;0;;;6;131,49;58,43;46,79;10;236,71;10;10;39;0
650;10:49;1018,48;1017,5;24;0;;492;0;0;0;3093;0;0;0;;;6;131,49;72,17;18,96;15,84;222,62;10;10;39;0
651;10:50;1018,48;1017,5;33;0;;1505;0;36,53;0;3073;0;14;0;;;6;63,49;72,17;8,41;15,84;144,07;10;10;38;0
652;10:51;1018,48;1016,5;81;0;;0;0;107,02;327;3053;16;43;0;;;6;100,65;60,31;24,52;10;185,48;10;10;38;0
653;10:52;1018,48;1016,5;79;0;;0;0;258,09;1468;3030;30;104;0;;;6;73,24;62,72;32,66;10;168,62;10;15,54;39;0
654;10:53;1018,48;1016,5;78;0;;0;0;296;2466;3011;35;119;0;;;6;119,71;62,72;32,66;22,9;215,09;10;15,54;42;0
655;10:54;1018,48;1016,5;78;0;;0;0;296,82;2526;2998;35;120;0;;;6;119,71;59,38;43,5;22,9;222,59;10;10;45;0
656;10:55;1018,48;1016,5;78;0;;0;0;297,65;2539;2352;35;120;0;;;6;106,69;59,38;43,5;10;209,57;10;14,11;47;0
657;10:56;1018,48;1016,5;78;0;;110;0;296,82;2531;0;35;120;0;;;6;105,45;59,14;26,88;15,99;191,47;10;14,11;49;0
658;10:57;1018,48;1016,5;80;0;;214;0;45,31;623;0;12;18;0;;;6;68,87;59,14;26,88;15,99;154,89;10;10;50;0
659;10:58;1018,48;1016,5;81;0;;60;0;91,08;182;0;6;36;0;;;6;56,69;60,71;22,13;10;139,53;10;10;48;0
660;10:59;1018,48;1016,5;79;0;;166;0;244,79;1365;4;30;98;0;;;6;120,04;61,16;15,78;10;196,98;11,37;10;44;0
661;11:00;1018,48;1016,5;78;0;;167;0;296,82;2523;345;36;120;0;;;6;120,04;61,16;15,78;10;196,98;11,37;10;44;0
662;11:01;1018,48;1017,5;79;0;;195;0;297,65;2538;417;36;120;0;;;6;99,03;53,59;37,7;10;190,32;10;10;47;0
663;11:02;1018,77;1018,5;76;2;;577;1,92;296,82;2592;422;35;120;0;;;6;99,89;49,89;37,7;10;187,48;10;10;49;0
664;11:03;1019,78;1019,5;71;5;;1364;2,85;296,82;2717;416;35;120;0;;;6;100,63;37,13;26,52;10;164,28;10;10;50;0
665;11:04;1021,02;1020,5;69;3;;1471;2,2;296,82;2796;407;35;120;0;;;6;100,63;33,47;0,99;10;135,09;10;10;52;0
666;11:05;1022,42;1021,5;66;8;;1768;0,81;296,82;2862;402;36;120;0;;;6;112,28;46,14;10,73;10;169,15;10;10;53;0
667;11:06;1022,82;1022,5;73;3;;936;0,73;297,65;2692;406;36;120;0;;;6;109,84;44,01;37,86;10;191,71;10;10;54;0
668;11:07;1023,45;1022,5;65;10;;1476;1,44;297,65;2824;412;36;120;0;;;6;109,84;52,79;37,86;12,3;200,49;10;10;55;0
669;11:08;1024,22;1023,5;69;6;;1450;1,8;297,65;2807;410;35;120;0;;;6;100,92;52,79;24,59;12,3;178,3;19,23;10;56;0
670;11:09;1024,22;1021,5;79;0;;280;0,44;52,77;952;408;16;21;0;;;6;100,92;44,3;24,59;10;169,81;19,23;10;56;0
671;11:10;1024,22;1021,5;81;0;;69;0;98,99;310;413;11;40;0;;;6;80,22;62,16;12,66;10;155,04;10;10;54;0
672;11:11;1024,22;1021,5;79;0;;130;0;283,52;1964;415;33;114;0;;;6;53,44;62,16;12,66;10;128,26;10;10;49;0
673;11:12;1024,22;1021,5;78;0;;202;0;296,82;2560;411;36;120;0;;;6;76,96;55,33;28,41;10;160,7;10;10;49;0
674;11:13;1024,22;1022,5;78;0;;229;0;297,65;2565;407;36;120;0;;;6;110,91;43,54;3,16;15,95;157,61;10;10;50;0
675;11:14;1024,44;1023,5;76;0;;468;0,87;298,48;2604;410;36;120;0;;;6;110,91;47,8;38,06;15,95;196,77;10;10;51;0
676;11:15;1025,05;1024,5;69;4;;1387;1,31;299,31;2770;413;36;121;0;;;6;80,63;48,31;38,06;10;167;10;10;52;0
677;11:16;1025,12;1023,5;75;0;;407;1,31;233,84;2385;414;35;94;0;;;6;63,02;53,11;24,7;10;140,83;10;10;53;0
678;11:17;1025,12;1022,5;81;0;;38;0;0;65;2563;3;0;0;;;6;96,33;53,11;24,7;10;174,14;10;10;54;0
679;11:18;1025,12;1023,5;82;0;;0;0;38,51;11;3282;0;0;12;;;6;96,33;29,74;4,65;10;130,72;10;10;50;0
680;11:19;1025,12;1023,5;79;0;;51;0;254,17;1411;3218;28;0;84;;;6;74,73;56,56;24,09;10;155,38;10;10;45;0
681;11:20;1025,12;1023,5;78;0;;153;0;299,3;2619;3185;36;0;100;;;6;109,53;56,21;20,46;10;186,2;10;10;44;0
682;11:21;1025,27;1024,5;77;0;;371;0,91;298,6;2650;3179;36;0;99;;;6;109,53;57,4;30,4;10;197,33;10;10;46;0
