,depth (m),bitdepth (m),hook_load (klb),wob (klb),rpm,torque,rop ,flowin (gal/stk),spp (psi),ChockePressure (psi),flowout (%),SPM1 (spm),SPM2 (spm),pitlevel1 (bbl),pitlevel2 (bbl),pitlevel3 (bbl),pitlevel4 (bbl),pitlevel5 (bbl),pitlevel6 (bbl),pitlevel7 (bbl),totalpitlevel (bbl),RPMAnalog,BlockPosition,RPMTotal,H2S (ppm),Kick,Well_Number
28,30.91,23.0,38.0,0.0,,0.0,0,302.12,318.0,0.0,37.0,72.0,0.0,61.0,85.0,86.0,77.0,83.0,102.0,2.0,494.0,0.0,9.0,93.0,0.0,0.0,0
29,30.91,29.0,36.0,0.0,,0.0,0,301.12,356.0,0.0,37.0,72.0,0.0,62.0,85.0,85.0,76.0,82.0,102.0,2.0,492.0,2.0,8.0,93.0,0.0,0.0,0
30,30.91,30.0,35.0,0.0,,0.0,0,300.14,384.0,0.0,37.0,71.0,0.0,63.0,85.0,85.0,76.0,82.0,102.0,2.0,493.0,0.0,8.0,93.0,0.0,0.0,0
31,30.91,30.0,34.0,0.0,,0.0,0,302.12,401.0,0.0,37.0,72.0,0.0,64.0,85.0,85.0,76.0,81.0,102.0,2.0,493.0,2.0,8.0,93.0,0.0,0.0,0
32,31.24,31.0,33.0,5.0,,0.0,1.28,302.63,414.0,0.0,37.0,72.0,0.0,64.0,85.0,85.0,76.0,81.0,102.0,2.0,493.0,3.0,7.0,93.0,0.0,0.0,0
33,32.01,32.0,33.0,4.0,,0.0,2.06,301.12,431.0,0.0,37.0,72.0,0.0,64.0,85.0,85.0,76.0,81.0,102.0,3.0,493.0,9.0,6.0,93.0,0.0,0.0,0
34,32.77,32.0,34.0,4.0,,0.0,2.13,301.62,423.0,0.0,37.0,72.0,0.0,65.0,86.0,85.0,75.0,81.0,102.0,3.0,494.0,7.0,6.0,93.0,0.0,0.0,0
35,33.25,33.0,36.0,3.0,,0.0,1.26,302.12,382.0,0.0,37.0,72.0,0.0,65.0,86.0,85.0,75.0,81.0,102.0,3.0,494.0,2.0,5.0,93.0,0.0,0.0,0
36,33.85,33.0,36.0,1.0,,0.0,1.47,301.13,378.0,0.0,37.0,72.0,0.0,65.0,86.0,85.0,75.0,80.0,102.0,3.0,493.0,1.0,4.0,93.0,0.0,0.0,0
37,34.54,34.0,36.0,0.0,,0.0,1.89,301.11,368.0,0.0,37.0,72.0,0.0,65.0,86.0,85.0,75.0,80.0,102.0,3.0,493.0,0.0,4.0,93.0,0.0,0.0,0
38,35.33,35.0,36.0,1.0,,0.0,1.6,301.12,392.0,0.0,37.0,72.0,0.0,65.0,86.0,85.0,75.0,80.0,102.0,3.0,493.0,3.0,3.0,93.0,0.0,0.0,0
39,35.75,35.0,36.0,2.0,,0.0,1.53,302.63,390.0,0.0,37.0,72.0,0.0,65.0,86.0,85.0,75.0,80.0,102.0,3.0,493.0,2.0,2.0,93.0,0.0,0.0,0
40,35.95,35.0,38.0,1.0,,0.0,1.69,300.61,324.0,0.0,37.0,71.0,0.0,65.0,86.0,85.0,75.0,80.0,102.0,3.0,493.0,0.0,2.0,93.0,0.0,0.0,0
41,36.28,36.0,38.0,2.0,,0.0,1.69,301.12,330.0,0.0,37.0,72.0,0.0,65.0,86.0,85.0,75.0,80.0,102.0,3.0,493.0,0.0,2.0,93.0,0.0,0.0,0
42,36.75,36.0,37.0,1.0,,0.0,2.13,301.62,345.0,0.0,36.0,72.0,0.0,65.0,86.0,85.0,75.0,80.0,102.0,3.0,493.0,0.0,2.0,93.0,0.0,0.0,0
43,37.22,37.0,37.0,0.0,,0.0,2.99,300.61,361.0,0.0,36.0,71.0,0.0,65.0,86.0,85.0,75.0,80.0,103.0,3.0,494.0,0.0,1.0,93.0,0.0,0.0,0
44,37.74,37.0,36.0,1.0,,0.0,2.99,301.11,369.0,0.0,37.0,72.0,0.0,66.0,86.0,85.0,75.0,80.0,102.0,3.0,494.0,0.0,1.0,93.0,0.0,0.0,0
45,38.05,38.0,38.0,0.0,,0.0,1.91,300.13,347.0,0.0,37.0,71.0,0.0,66.0,86.0,85.0,75.0,80.0,102.0,3.0,494.0,0.0,0.0,93.0,0.0,0.0,0
46,38.33,38.0,38.0,2.0,,0.0,1.91,302.12,331.0,0.0,37.0,72.0,0.0,66.0,86.0,85.0,75.0,80.0,102.0,3.0,494.0,0.0,0.0,93.0,0.0,0.0,0
47,38.33,37.0,38.0,0.0,,0.0,0.64,260.49,309.0,0.0,37.0,62.0,0.0,65.0,86.0,85.0,75.0,80.0,102.0,3.0,493.0,0.0,0.0,80.0,0.0,0.0,0
48,38.33,37.0,23.0,0.0,,0.0,0,25.31,35.0,0.0,7.0,6.0,0.0,65.0,86.0,85.0,76.0,81.0,102.0,3.0,495.0,0.0,0.0,7.0,0.0,0.0,0
49,38.33,37.0,25.0,0.0,,0.0,0,0,5.0,0.0,0.0,0.0,0.0,61.0,86.0,86.0,77.0,85.0,102.0,3.0,497.0,0.0,1.0,0.0,0.0,0.0,0
