Km Atual,Km Troca,Fe,Cr,Pb,Cu,Sn,Al,Ni,Ag,Si,B,Na,Mg,Ca,Ba,P,Zn,Mo,Ti,V,K,Oxi,Nit,Sul,Ful,Agu,Gli,Dil,DiagComb,DiagCont,DiagCorr
43796.0,16095.0,70.0,5.0,14.0,12.0,4.0,4.0,0.0,0.0,7.0,0.0,32.0,107.0,3101.0,0.0,693.0,883.0,0.0,0.0,0.0,2.0,0.08,0.09,0.12,0.14,0.1,0.08,2.0,0,0,0
54971.0,10200.0,57.0,4.0,9.0,7.0,4.0,4.0,0.0,0.0,5.0,0.0,7.0,22.0,2731.0,0.0,578.0,726.0,0.0,0.0,0.0,9.0,0.1,0.11,0.11,0.12,0.1,0.08,2.0,0,0,0
364649.0,3970.0,85.0,2.0,7.0,3.0,4.0,8.0,0.0,0.0,9.0,0.0,239.0,655.0,1137.0,0.0,1015.0,1309.0,9.0,0.0,0.0,7.0,0.07,0.08,0.13,0.54,0.1,0.08,2.0,0,0,0
367175.0,6437.0,71.0,1.0,5.0,2.0,3.0,6.0,0.0,0.0,8.0,0.0,243.0,715.0,1188.0,0.0,1106.0,1338.0,7.0,0.0,0.0,4.0,0.05,0.05,0.12,0.47,0.1,0.08,2.0,0,0,0
371473.0,4356.0,73.0,1.0,5.0,2.0,3.0,6.0,0.0,0.0,9.0,0.0,273.0,815.0,1260.0,0.0,1232.0,1511.0,6.0,0.0,0.0,6.0,0.05,0.06,0.11,0.36,0.1,0.08,2.0,0,0,0
380438.0,8902.0,122.0,2.0,9.0,4.0,3.0,9.0,0.0,0.0,12.0,0.0,282.0,792.0,1496.0,0.0,1194.0,1480.0,7.0,0.0,0.0,4.0,0.08,0.09,0.16,0.66,0.1,0.08,2.0,0,0,1
30583.0,11963.0,66.0,7.0,5.0,16.0,5.0,4.0,0.0,0.0,8.0,1.0,17.0,84.0,2473.0,0.0,570.0,736.0,0.0,0.0,0.0,2.0,0.05,0.06,0.09,0.14,0.1,0.08,2.0,0,0,0
49170.0,17602.0,64.0,7.0,5.0,5.0,4.0,4.0,0.0,0.0,6.0,0.0,21.0,73.0,2610.0,0.0,583.0,751.0,0.0,0.0,0.0,3.0,0.05,0.09,0.12,0.13,0.1,0.08,2.0,0,0,0
63553.0,14507.0,60.0,5.0,7.0,5.0,3.0,3.0,0.0,0.0,5.0,0.0,3.0,19.0,2773.0,0.0,592.0,766.0,0.0,0.0,0.0,0.0,0.06,0.09,0.1,0.13,0.1,0.08,2.0,0,0,0
83713.0,15704.0,99.0,20.0,12.0,13.0,10.0,2.0,0.0,0.0,7.0,0.0,206.0,631.0,1388.0,0.0,989.0,1253.0,0.0,0.0,0.0,7.0,0.03,0.06,0.22,1.3,0.1,0.08,2.0,0,0,0
438702.0,12289.0,277.0,11.0,40.0,15.0,10.0,23.0,2.0,0.0,28.0,0.0,220.0,543.0,1102.0,0.0,921.0,1159.0,24.0,0.0,0.0,6.0,0.1,0.12,0.23,1.28,0.1,0.08,2.0,1,2,2
438360.0,11579.0,255.0,10.0,43.0,16.0,9.0,21.0,1.0,0.0,28.0,1.0,224.0,553.0,1092.0,30.0,929.0,1202.0,22.0,0.0,0.0,6.0,0.08,0.17,0.22,1.15,1.5,0.08,2.0,0,2,1
438360.0,15016.0,237.0,9.0,41.0,20.0,10.0,22.0,1.0,0.0,26.0,0.0,202.0,551.0,1326.0,0.0,932.0,1265.0,24.0,0.0,0.0,9.0,0.11,0.14,0.25,1.27,0.1,0.08,2.0,0,0,2
445082.0,5058.0,84.0,2.0,8.0,2.0,4.0,7.0,0.0,0.0,10.0,0.0,254.0,776.0,1160.0,0.0,1097.0,1342.0,10.0,0.0,0.0,6.0,0.04,0.05,0.09,0.44,0.1,0.08,2.0,0,0,0
31981.0,11634.0,66.0,8.0,8.0,8.0,6.0,5.0,0.0,0.0,6.0,0.0,10.0,34.0,2653.0,0.0,571.0,759.0,0.0,0.0,0.0,5.0,0.12,0.12,0.21,0.43,0.1,0.08,2.0,0,0,0
334370.0,9531.0,440.0,13.0,50.0,74.0,16.0,43.0,0.0,0.0,45.0,0.0,128.0,276.0,2916.0,30.0,1193.0,1529.0,63.0,0.0,0.0,1.0,0.21,0.22,0.43,2.0,0.1,0.08,2.0,2,2,2
333089.0,15461.0,259.0,8.0,34.0,57.0,13.0,28.0,1.0,0.0,28.0,0.0,91.0,229.0,2160.0,0.0,859.0,1138.0,37.0,0.0,0.0,7.0,0.2,0.21,0.38,1.75,0.1,0.08,2.0,1,0,2
422598.0,5650.0,63.0,1.0,6.0,7.0,4.0,8.0,0.0,0.0,9.0,0.0,256.0,760.0,1232.0,0.0,1214.0,1430.0,9.0,0.0,0.0,5.0,0.04,0.04,0.08,0.49,0.1,0.08,2.0,0,0,0
392157.0,5027.0,167.0,3.0,40.0,7.0,6.0,15.0,1.0,0.0,17.0,0.0,169.0,518.0,2518.0,0.0,1220.0,1544.0,7.0,0.0,0.0,8.0,0.16,0.1,0.09,1.2,0.1,0.08,2.0,1,0,1
311278.0,15163.0,141.0,6.0,31.0,9.0,8.0,19.0,1.0,0.0,23.0,1.0,29.0,55.0,3076.0,0.0,1014.0,1298.0,15.0,0.0,0.0,14.0,0.26,0.3,0.33,1.85,0.1,0.08,2.0,1,0,0
327041.0,15547.0,164.0,3.0,19.0,8.0,5.0,16.0,1.0,0.0,17.0,0.0,305.0,818.0,1369.0,0.0,1132.0,1441.0,15.0,0.0,0.0,5.0,0.12,0.16,0.26,1.53,0.1,0.08,2.0,1,0,1
451575.0,20441.0,234.0,6.0,35.0,14.0,9.0,18.0,2.0,0.0,19.0,1.0,301.0,738.0,1452.0,0.0,1288.0,1698.0,16.0,0.0,0.0,11.0,0.11,0.2,0.28,1.78,0.1,0.08,2.0,1,0,1
464758.0,13183.0,172.0,4.0,29.0,9.0,5.0,12.0,1.0,0.0,15.0,0.0,289.0,792.0,1236.0,0.0,1177.0,1504.0,8.0,0.0,0.0,4.0,0.11,0.16,0.27,1.52,0.1,0.08,2.0,1,0,1
496383.0,31281.0,115.0,4.0,8.0,4.0,3.0,9.0,0.0,0.0,10.0,0.0,75.0,202.0,3054.0,0.0,795.0,968.0,1.0,0.0,0.0,1.0,0.1,0.17,0.19,1.22,0.1,0.08,2.0,0,0,0
510126.0,13473.0,94.0,3.0,8.0,3.0,3.0,7.0,0.0,0.0,9.0,0.0,89.0,266.0,2713.0,0.0,867.0,1109.0,1.0,0.0,0.0,3.0,0.18,0.19,0.18,1.02,0.1,0.08,2.0,0,0,0
456402.0,13432.0,121.0,3.0,13.0,7.0,4.0,11.0,0.0,0.0,11.0,0.0,195.0,562.0,982.0,0.0,862.0,1124.0,9.0,0.0,0.0,4.0,0.07,0.09,0.19,1.06,0.1,0.08,2.0,0,0,0
470743.0,14341.0,196.0,5.0,21.0,8.0,5.0,13.0,0.0,0.0,15.0,0.0,244.0,723.0,1120.0,0.0,1022.0,1367.0,12.0,0.0,0.0,7.0,0.21,0.16,0.09,1.78,0.1,0.08,2.0,1,0,1
493255.0,21692.0,97.0,1.0,8.0,3.0,3.0,6.0,0.0,0.0,7.0,0.0,242.0,635.0,1103.0,0.0,998.0,1226.0,5.0,0.0,0.0,5.0,0.03,0.04,0.08,0.59,0.1,0.08,2.0,0,0,0
509708.0,16619.0,174.0,4.0,30.0,8.0,5.0,14.0,0.0,0.0,14.0,0.0,183.0,503.0,1469.0,0.0,885.0,1115.0,12.0,0.0,0.0,7.0,0.16,0.15,0.22,1.17,0.1,0.08,2.0,0,0,0
412332.0,9964.0,133.0,1.0,13.0,10.0,4.0,11.0,1.0,0.0,15.0,0.0,400.0,897.0,1443.0,0.0,1420.0,1920.0,1.0,0.0,0.0,8.0,0.06,0.09,0.09,0.59,0.1,0.08,2.0,0,0,0
397651.0,14803.0,121.0,5.0,35.0,8.0,6.0,14.0,0.0,0.0,12.0,0.0,178.0,564.0,1608.0,0.0,906.0,1114.0,10.0,0.0,0.0,6.0,0.05,0.07,0.14,0.66,0.1,0.08,2.0,0,0,0
411884.0,14183.0,122.0,5.0,21.0,8.0,3.0,15.0,0.0,0.0,14.0,0.0,33.0,70.0,2645.0,0.0,705.0,862.0,9.0,0.0,0.0,0.0,0.04,0.09,0.11,0.62,0.1,0.08,2.0,0,0,0
425973.0,13529.0,116.0,3.0,25.0,7.0,4.0,10.0,0.0,0.0,11.0,0.0,186.0,555.0,1509.0,0.0,897.0,1165.0,8.0,0.0,0.0,0.0,0.1,0.1,0.16,0.69,0.1,0.08,2.0,0,0,0
353800.0,15515.0,192.0,5.0,29.0,10.0,7.0,17.0,2.0,0.0,16.0,0.0,271.0,653.0,1109.0,0.0,1042.0,1406.0,17.0,0.0,0.0,7.0,0.14,0.17,0.27,1.35,0.1,0.08,2.0,0,0,1
368163.0,13760.0,154.0,4.0,23.0,7.0,5.0,14.0,1.0,0.0,15.0,0.0,269.0,746.0,1168.0,0.0,1121.0,1436.0,14.0,0.0,0.0,4.0,0.12,0.14,0.25,1.15,0.1,0.08,2.0,0,0,0
400852.0,16601.0,210.0,5.0,34.0,9.0,6.0,14.0,2.0,0.0,14.0,0.0,234.0,648.0,1860.0,0.0,1142.0,1485.0,10.0,0.0,0.0,5.0,0.13,0.17,0.24,1.3,0.1,0.08,2.0,0,0,1
424404.0,14821.0,158.0,5.0,21.0,6.0,4.0,11.0,1.0,0.0,12.0,0.0,112.0,305.0,2601.0,0.0,893.0,1146.0,4.0,0.0,0.0,2.0,0.13,0.18,0.22,1.23,0.1,0.08,2.0,0,0,0
440452.0,14551.0,49.0,1.0,3.0,2.0,3.0,6.0,0.0,0.0,6.0,0.0,5.0,20.0,3363.0,0.0,700.0,823.0,1.0,0.0,0.0,5.0,0.08,0.11,0.11,0.65,0.1,0.08,2.0,0,0,0
343742.0,14917.0,542.0,30.0,127.0,43.0,27.0,38.0,5.0,0.0,30.0,0.0,263.0,751.0,1205.0,0.0,1088.0,1397.0,43.0,0.0,0.0,5.0,0.14,0.21,0.3,1.78,0.1,0.08,2.0,1,1,2
348981.0,5023.0,136.0,5.0,50.0,12.0,8.0,9.0,1.0,0.0,10.0,0.0,237.0,751.0,1161.0,0.0,1108.0,1377.0,12.0,0.0,0.0,4.0,0.06,0.07,0.14,1.0,0.1,0.08,2.0,0,0,0
360982.0,17024.0,401.0,13.0,110.0,24.0,14.0,23.0,4.0,0.0,19.0,0.0,284.0,775.0,1211.0,0.0,1122.0,1446.0,27.0,0.0,0.0,6.0,0.11,0.15,0.29,1.69,0.1,0.08,2.0,1,0,2
377248.0,33290.0,241.0,6.0,26.0,8.0,7.0,13.0,1.0,0.0,14.0,0.0,203.0,529.0,2064.0,0.0,1027.0,1273.0,12.0,0.0,0.0,5.0,0.09,0.13,0.2,1.32,0.1,0.08,2.0,0,0,1
392088.0,15009.0,113.0,3.0,7.0,4.0,3.0,7.0,0.0,0.0,10.0,0.0,61.0,168.0,2973.0,0.0,797.0,1039.0,3.0,0.0,0.0,1.0,0.05,0.1,0.12,0.81,0.1,0.08,2.0,0,0,0
408960.0,15969.0,111.0,3.0,6.0,3.0,3.0,7.0,0.0,0.0,9.0,0.0,46.0,142.0,3828.0,0.0,837.0,1041.0,2.0,0.0,0.0,3.0,0.07,0.13,0.14,0.77,0.1,0.08,2.0,0,0,1
421260.0,13274.0,78.0,2.0,5.0,2.0,3.0,6.0,0.0,0.0,7.0,8.0,6.0,21.0,3413.0,0.0,711.0,839.0,1.0,0.0,0.0,5.0,0.07,0.12,0.11,0.63,0.1,0.08,2.0,0,0,0
329009.0,15433.0,256.0,13.0,54.0,20.0,17.0,25.0,2.0,0.0,21.0,0.0,315.0,758.0,1204.0,0.0,1185.0,1576.0,29.0,0.0,0.0,11.0,0.11,0.15,0.21,0.95,0.1,0.08,2.0,0,2,2
342316.0,12663.0,161.0,5.0,17.0,6.0,6.0,10.0,1.0,0.0,14.0,2.0,261.0,813.0,1239.0,0.0,1151.0,1524.0,16.0,0.0,0.0,4.0,0.1,0.12,0.21,0.81,0.1,0.08,2.0,0,0,0
368096.0,22404.0,56.0,1.0,9.0,7.0,2.0,3.0,0.0,0.0,8.0,0.0,228.0,696.0,1357.0,0.0,1107.0,1350.0,5.0,0.0,0.0,19.0,0.07,0.09,0.13,0.54,0.1,0.08,2.0,0,0,0
398381.0,52697.0,147.0,3.0,17.0,4.0,4.0,9.0,0.0,0.0,10.0,0.0,122.0,346.0,2526.0,14.0,921.0,1170.0,4.0,0.0,0.0,3.0,0.12,0.15,0.16,0.77,0.1,0.08,2.0,0,0,0
414004.0,15603.0,100.0,3.0,8.0,3.0,4.0,8.0,0.0,0.0,7.0,0.0,7.0,23.0,3243.0,0.0,693.0,889.0,2.0,0.0,0.0,3.0,0.09,0.1,0.08,0.76,0.1,0.08,2.0,0,0,0
